ID,O_time,O_geo_X,O_geo_Y,O_tweet_text,O_tweet_url
WomensCalendar,Mon Apr 15 20:00:09 +0000 2019,33.953866,-118.405091,"Drop-in Drawing: Lines in the Cube, Apr 16 2019 https://t.co/5OQDTlYdYH #Visual_Arts #Classes_&amp;_Workshops #california #museum #exhibit",https://s.time.ly/x5sjnEpj
test5geo1798,Mon Apr 15 21:43:00 +0000 2019,33.945038,-118.405091,TEST_LAT/LON: ad9c2201-b4c7-4beb-a45b-6fba39de3ff2,
gregoryhills,Mon Apr 15 20:35:44 +0000 2019,33.945038,-118.405091,@aapuni Ahh the hallmarks of SF.....(I did find the bathroom eventually) https://t.co/e1f3Ui3TyW,https://twitter.com/gregoryhills/status/1117889262295244801/photo/1
tonynas,Mon Apr 15 20:38:12 +0000 2019,33.945038,-118.405091,San Francisco     #photography #photooftheday #photographer #photoshoot #photographyeveryday #photographers #photos… https://t.co/CnjtSNuRrj,https://twitter.com/i/web/status/1117889886290239488
SolestradaSo,Mon Apr 15 20:45:45 +0000 2019,33.945038,-118.405091,😀😍🍦🍦🍦🍦🍦🍦 https://t.co/tvoEkoFkcG,https://twitter.com/SolestradaSo/status/1117891784133070848/photo/1
bow_en_arrow,Mon Apr 15 20:11:05 +0000 2019,33.945038,-118.405091,Drinking a Pale Ale by @FactionBrewing @ B55 Craft House &amp; Kitchen — https://t.co/E9E1kCoMM8,http://untp.beer/s/c737033314
pcperini,Mon Apr 15 20:38:32 +0000 2019,33.945038,-118.405091,@staringispolite Christian* even,
gboxmuchacho,Mon Apr 15 20:23:16 +0000 2019,33.945038,-118.405091,"da um efeito nostalgico nas musicas, principalmente as que sao da epoca onde essa era a qualidade media de som",
