GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Aggregate number of vehicles available:
HD02_VD01,Margin of Error; Aggregate number of vehicles available:
HD01_VD02,Estimate; Aggregate number of vehicles available: - Owner occupied
HD02_VD02,Margin of Error; Aggregate number of vehicles available: - Owner occupied
HD01_VD03,Estimate; Aggregate number of vehicles available: - Renter occupied
HD02_VD03,Margin of Error; Aggregate number of vehicles available: - Renter occupied
